trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
131,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.828099206547428,104.3,200.0,500.0,0.1,0.05,1.0,10.0,0.01,100.0
132,,,,,,,,,,,,αυτου αλεξανδρε ουδις ετων,0.7236924615008519,103.96,100.0,1000.0,0.9,0.0,5.0,25.0,0.001,100.0
133, αι αλεξανδρε ουδις ετη,0.5988692109188081,54.53333333333333,15.0,20.0,250.0,0.6,0.01,2.0,0.001,50.0,,,,,,,,,,,
134, αλυπε αλεξανδρε ουδις αουαιου,0.6164800714083627,54.2,10.0,20.0,1000.0,0.1,0.05,5.0,0.001,50.0,,,,,,,,,,,
133,,,,,,,,,,,,αι αλεξανδρε ουδις ετη,0.5988692109188081,54.53333333333333,20.0,250.0,0.6,0.01,2.0,15.0,0.001,50.0
134,,,,,,,,,,,,αλυπε αλεξανδρε ουδις αουαιου,0.6164800714083627,54.2,20.0,1000.0,0.1,0.05,5.0,10.0,0.001,50.0
135, ουδις αλεξανδρε ουδις ουδις,0.8231856316361665,54.4,15.0,500.0,250.0,0.1,0.1,1.0,0.01,50.0,,,,,,,,,,,
136, μετα αλεξανδρε ουδις μηνι,0.7039139456464872,101.0,10.0,100.0,500.0,0.1,0.1,2.0,0.1,100.0,,,,,,,,,,,
135,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.8231856316361665,54.4,500.0,250.0,0.1,0.1,0.0,15.0,0.01,50.0
136,,,,,,,,,,,,μετα αλεξανδρε ουδις μηνι,0.7039139456464872,101.0,100.0,500.0,0.1,0.1,2.0,10.0,0.1,100.0
137, ετους αλεξανδρε ουδις και,0.9296461939249978,51.1,10.0,1000.0,500.0,0.6,0.01,5.0,0.1,50.0,,,,,,,,,,,
138, ουδις αλεξανδρε ουδις ουδις,0.9100854715154028,54.84,25.0,1000.0,500.0,0.1,0.1,1.0,0.01,50.0,,,,,,,,,,,
139, εχει αλεξανδρε ουδις παρα,0.6059897233570471,21.6,10.0,20.0,1000.0,0.6,0.05,1.0,0.01,20.0,,,,,,,,,,,
140, ετων αλεξανδρε ουδις δε,0.698152160693039,101.2,10.0,100.0,250.0,0.1,0.01,2.0,0.1,100.0,,,,,,,,,,,
141, εκτισθη αλεξανδρε ουδις ημερα,0.5979732938540573,21.88,25.0,20.0,1000.0,0.6,0.1,5.0,0.01,20.0,,,,,,,,,,,
142, τον αλεξανδρε ουδις θεος,0.5831234326464008,102.7,10.0,20.0,1000.0,0.9,0.05,10.0,0.001,100.0,,,,,,,,,,,
143, ινδικτιωνος αλεξανδρε ουδις εις,0.7751386943573911,103.6,15.0,200.0,500.0,0.6,0.01,1.0,0.01,100.0,,,,,,,,,,,
144, του αλεξανδρε ουδις ετους,0.8650988517195484,54.12,25.0,500.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
145, οι αλεξανδρε ουδις απο,0.7946180401501004,24.733333333333334,15.0,200.0,1000.0,0.1,0.01,1.0,0.001,20.0,,,,,,,,,,,
146, του αλεξανδρε ουδις ετους,0.8915153249382379,106.06666666666666,15.0,500.0,500.0,0.1,0.01,5.0,0.001,100.0,,,,,,,,,,,
137,,,,,,,,,,,,ετους αλεξανδρε ουδις και,0.9296461939249978,51.1,1000.0,500.0,0.6,0.0,5.0,10.0,0.1,50.0
138,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.9100854715154029,54.84,1000.0,500.0,0.1,0.1,0.0,25.0,0.01,50.0
139,,,,,,,,,,,,εχει αλεξανδρε ουδις παρα,0.6059897233570471,21.6,20.0,1000.0,0.6,0.05,0.0,10.0,0.01,20.0
140,,,,,,,,,,,,ετων αλεξανδρε ουδις δε,0.698152160693039,101.2,100.0,250.0,0.1,0.01,2.0,10.0,0.1,100.0
141,,,,,,,,,,,,εκτισθη αλεξανδρε ουδις ημερα,0.5979732938540573,21.88,20.0,1000.0,0.6,0.1,5.0,25.0,0.01,20.0
142,,,,,,,,,,,,τον αλεξανδρε ουδις θεος,0.5831234326464008,102.7,20.0,1000.0,0.9,0.05,10.0,10.0,0.001,100.0
143,,,,,,,,,,,,ινδικτιωνος αλεξανδρε ουδις εις,0.7751386943573911,103.6,200.0,500.0,0.6,0.0,1.0,15.0,0.01,100.0
144,,,,,,,,,,,,του αλεξανδρε ουδις ετους,0.8650988517195484,54.12,500.0,1000.0,0.6,0.01,0.0,25.0,0.01,50.0
145,,,,,,,,,,,,οι αλεξανδρε ουδις απο,0.7946180401501004,24.733333333333334,200.0,1000.0,0.1,0.01,1.0,15.0,0.001,20.0
146,,,,,,,,,,,,του αλεξανδρε ουδις ετους,0.8915153249382379,106.06666666666666,500.0,500.0,0.1,0.01,5.0,15.0,0.001,100.0
